answer_en,question_en,context,context_data
"And they shall eat of a tree in the Garden, and they shall say, 'We have indeed become the losers.' And Allah will say, 'Do not be lost, for I am with you. I hear and see all.' And the proof is: 'And We said, 'O Adam, dwell you and your wife in the Garden, and eat from it a plentifully, wherever you will, but do not approach this tree, for then you will be of the wrongdoers.' (35) [Al-Baqarah: 35]",What is the thing that Allah (SWT) forbade Adam and Hawwa (Eve) from in Paradise?,"Quran Surah 2 Ayah 35:
And We Ordained: ‘O Adam, Reside You And Your Wife In This Paradise And Eat Of It, Both Of You, Whatever You Like And From Wherever You Will. But Do Not Go Near This Tree Lest You Should (Join) The Transgressors.’","[{""index"": 10, ""q_src_id"": 11, ""surah"": 2, ""ayah"": 35, ""ayah_en"": ""And We Ordained: \u2018O Adam, Reside You And Your Wife In This Paradise And Eat Of It, Both Of You, Whatever You Like And From Wherever You Will. But Do Not Go Near This Tree Lest You Should (Join) The Transgressors.\u2019""}]"
"After Adam and Eve descended to Earth after eating from the tree, and the proof of that is: the devil misled them and caused them to fall from it. We said, 'Descend, one of you is an enemy to the other. You will have on Earth a place of settlement and sustenance for a time.' (2:36) The Cow",When did the open enmity between humans and the devil begin?,"Quran Surah 2 Ayah 36:
Then Satan Shook Them From That Place, And Removed Them From The (Blissful) Location Where They Were. And (Eventually) We Ordained: ‘Go Down (And Live In The Earth); You Will Remain Enemies To Each Other, And Now In The Earth You Have Been Destined A Dwelling Place And Sustenance For A Fixed Time.’","[{""index"": 11, ""q_src_id"": 12, ""surah"": 2, ""ayah"": 36, ""ayah_en"": ""Then Satan Shook Them From That Place, And Removed Them From The (Blissful) Location Where They Were. And (Eventually) We Ordained: \u2018Go Down (And Live In The Earth); You Will Remain Enemies To Each Other, And Now In The Earth You Have Been Destined A Dwelling Place And Sustenance For A Fixed Time.\u2019""}]"
"We said, 'Descend from it all of you, and if guidance comes to you from Me, then whoever follows My guidance, there will be no fear upon them, nor will they grieve.' But those who disbelieved and denied Our signs, they are the companions of the Fire; they will abide therein.","Did Allah (SWT) establish the path for humans since He sent them to Earth, in terms of reward and punishment? Please recall the verses that indicate this.","Quran Surah 2 Ayah 38:
We Said: ‘Leave It (Paradise And Settle In The Earth), All Of You. Then If There Comes To You Guidance From Me, Whoever Will Follow My Guidance, Neither Shall Any Fear (Obsess) Them, Nor Shall They Grieve.

Quran Surah 2 Ayah 39:
And Those Who Disbelieve And Deny Our Revelations, It Is They Who Shall Be The Inmates Of The Fire. They Shall Abide In It Forever.’","[{""index"": 12, ""q_src_id"": 13, ""surah"": 2, ""ayah"": 38, ""ayah_en"": ""We Said: \u2018Leave It (Paradise And Settle In The Earth), All Of You. Then If There Comes To You Guidance From Me, Whoever Will Follow My Guidance, Neither Shall Any Fear (Obsess) Them, Nor Shall They Grieve.""}, {""index"": 12, ""q_src_id"": 13, ""surah"": 2, ""ayah"": 39, ""ayah_en"": ""And Those Who Disbelieve And Deny Our Revelations, It Is They Who Shall Be The Inmates Of The Fire. They Shall Abide In It Forever.\u2019""}]"
"Patience and prayer. And the evidence: 'And seek help through patience and prayer, and indeed, it is difficult except for the humble.' (2:45) [Al-Baqarah]",What are the two great things that Allah (SWT) has commanded us to seek help in?,"Quran Surah 2 Ayah 45:
And Seek (Allah’S) Help Through Patience And Prayer. But This Is No Doubt Hard Except For The Humble (Whose Hearts Have Been Softened With The Love Of Allah And Gripped With His Fear).","[{""index"": 13, ""q_src_id"": 14, ""surah"": 2, ""ayah"": 45, ""ayah_en"": ""And Seek (Allah\u2019S) Help Through Patience And Prayer. But This Is No Doubt Hard Except For The Humble (Whose Hearts Have Been Softened With The Love Of Allah And Gripped With His Fear).""}]"
They used to slaughter your sons and take your daughters alive. And in that was a great trial from your Lord.,What was the torment of Pharaoh's people for the Children of Israel?,"Quran Surah 2 Ayah 49:
And (Also Recall) When We Delivered You From Pharaoh’S People, Who Used To Inflict Severe Torment Upon You: They Slaughtered Your Sons And Kept Your Daughters Alive. There Was An Arduously Terrible Trial In It From Your Lord.","[{""index"": 14, ""q_src_id"": 15, ""surah"": 2, ""ayah"": 49, ""ayah_en"": ""And (Also Recall) When We Delivered You From Pharaoh\u2019S People, Who Used To Inflict Severe Torment Upon You: They Slaughtered Your Sons And Kept Your Daughters Alive. There Was An Arduously Terrible Trial In It From Your Lord.""}]"
"And when you said, 'O Moses, we will not believe in you until we see Allah openly,' the thunderbolt struck you while you were looking.",What was the condition that the people of Moses (peace be upon him) had to fulfill to believe that the words they heard from him (peace be upon him) were the words of God?,"Quran Surah 2 Ayah 55:
And (Remember) When You Said: ‘O Musa (Moses)! We Will Never Believe In You Until We See Allah Completely Unveiled (Before Our Eyes).’ So, (On This) A Thunder Seized (And Eliminated) You, And You Kept Watching (This Spectacle Yourselves).","[{""index"": 15, ""q_src_id"": 16, ""surah"": 2, ""ayah"": 55, ""ayah_en"": ""And (Remember) When You Said: \u2018O Musa (Moses)! We Will Never Believe In You Until We See Allah Completely Unveiled (Before Our Eyes).\u2019 So, (On This) A Thunder Seized (And Eliminated) You, And You Kept Watching (This Spectacle Yourselves).""}]"
"And when you said, 'O Moses, we will not believe in you until we see Allah openly,' the thunderbolt took you while you were looking (55). Then We revived you after your death, so that you might be grateful (56). And We shaded you with clouds and sent down to you Manna and Salwa, 'Eat of the good things We have provided for you,' and they did not wrong Us, but they wronged themselves (57). Al-Baqarah.",nan,"Quran Surah 2 Ayah 55:
And (Remember) When You Said: ‘O Musa (Moses)! We Will Never Believe In You Until We See Allah Completely Unveiled (Before Our Eyes).’ So, (On This) A Thunder Seized (And Eliminated) You, And You Kept Watching (This Spectacle Yourselves).

Quran Surah 2 Ayah 56:
Then We Brought You Back To Life After Your Death So That You Pay (Us) Thanks.

Quran Surah 2 Ayah 57:
And (Recall) When We Cast The Shade Of Clouds Over You (In The Tiha Valley) And Sent Down For You Manna And Quails So That You Might Eat Of The Pure Things We Provided For You. So They Did Not Harm Us At All (By Disobeying And Showing Us Disregard), But Persistently Harmed Their Own Souls.","[{""index"": 16, ""q_src_id"": 17, ""surah"": 2, ""ayah"": 55, ""ayah_en"": ""And (Remember) When You Said: \u2018O Musa (Moses)! We Will Never Believe In You Until We See Allah Completely Unveiled (Before Our Eyes).\u2019 So, (On This) A Thunder Seized (And Eliminated) You, And You Kept Watching (This Spectacle Yourselves).""}, {""index"": 16, ""q_src_id"": 17, ""surah"": 2, ""ayah"": 56, ""ayah_en"": ""Then We Brought You Back To Life After Your Death So That You Pay (Us) Thanks.""}, {""index"": 16, ""q_src_id"": 17, ""surah"": 2, ""ayah"": 57, ""ayah_en"": ""And (Recall) When We Cast The Shade Of Clouds Over You (In The Tiha Valley) And Sent Down For You Manna And Quails So That You Might Eat Of The Pure Things We Provided For You. So They Did Not Harm Us At All (By Disobeying And Showing Us Disregard), But Persistently Harmed Their Own Souls.""}]"
"She is not an old cow nor a young one, very yellow, delightful to look at, not barren in tilling the land and farming, not prepared for watering from a water wheel, and free from defects. They said, 'Invoke for us your Lord to make it clear to us what it is.' He said, 'He says,",What are the qualities of the cow that Allah commanded the Children of Israel to slaughter?,"Quran Surah 2 Ayah 68:
(Then) They Said: ‘Pray For Us To Your Lord That He May Make Clear To Us What Kind Of Cow (That) Shall Be.’ (Musa [Moses]) Said: ‘Certainly, He Ordains That The Cow Is To Be Neither Old Nor Young (Heifer), But In Between (Fully Grown). So Now Implement What You Have Been Ordered.’

Quran Surah 2 Ayah 69:
They (Again) Said: ‘Pray To Your Lord For Us That He May Specify What Her Colour Should Be.’ Musa (Moses) Said: ‘He Says The Cow Should Be Yellow, Rich In Tone, (So Attractive That) It Pleases The Viewers.’

Quran Surah 2 Ayah 70:
(This Time) They Said: ‘Pray For Us To Your Lord That He May Make Clear To Us What Exact Type Of Cow It Is (Because) The Cow Has Become Doubtful To Us, And If Allah So Wills, We Shall Indeed Be Guided Aright.’

Quran Surah 2 Ayah 71:
(Musa [Moses] Said:) Allah Has Ordained: ‘(That Is Not Any Inferior Cow. Instead) It Is Certainly (A Superior) Cow, Which Has Been Employed Neither For Ploughing Nor For Watering The Field, A Cow In Sound Health, Without Any Blemish.’ They Said: ‘Now You (Have) Brought The Truth.’ So They Sacrificed It, Though They Did Not Look Like Doing It.","[{""index"": 17, ""q_src_id"": 18, ""surah"": 2, ""ayah"": 68, ""ayah_en"": ""(Then) They Said: \u2018Pray For Us To Your Lord That He May Make Clear To Us What Kind Of Cow (That) Shall Be.\u2019 (Musa [Moses]) Said: \u2018Certainly, He Ordains That The Cow Is To Be Neither Old Nor Young (Heifer), But In Between (Fully Grown). So Now Implement What You Have Been Ordered.\u2019""}, {""index"": 17, ""q_src_id"": 18, ""surah"": 2, ""ayah"": 69, ""ayah_en"": ""They (Again) Said: \u2018Pray To Your Lord For Us That He May Specify What Her Colour Should Be.\u2019 Musa (Moses) Said: \u2018He Says The Cow Should Be Yellow, Rich In Tone, (So Attractive That) It Pleases The Viewers.\u2019""}, {""index"": 17, ""q_src_id"": 18, ""surah"": 2, ""ayah"": 70, ""ayah_en"": ""(This Time) They Said: \u2018Pray For Us To Your Lord That He May Make Clear To Us What Exact Type Of Cow It Is (Because) The Cow Has Become Doubtful To Us, And If Allah So Wills, We Shall Indeed Be Guided Aright.\u2019""}, {""index"": 17, ""q_src_id"": 18, ""surah"": 2, ""ayah"": 71, ""ayah_en"": ""(Musa [Moses] Said:) Allah Has Ordained: \u2018(That Is Not Any Inferior Cow. Instead) It Is Certainly (A Superior) Cow, Which Has Been Employed Neither For Ploughing Nor For Watering The Field, A Cow In Sound Health, Without Any Blemish.\u2019 They Said: \u2018Now You (Have) Brought The Truth.\u2019 So They Sacrificed It, Though They Did Not Look Like Doing It.""}]"
"If you follow the Prophet Muhammad (peace be upon him) and his path, and the Muslims follow their path. The evidence for this is: 'And you will never be satisfied, O Muhammad, until you follow their religion.' (Say), 'Indeed, Allah's guidance is the true guidance.' And if you were to follow their desires after the knowledge that has come to you, then you would have no protector or helper from Allah.' (2:120)",When will the Jews and Christians be satisfied with the Prophet and the Muslims?,"Quran Surah 2 Ayah 120:
And The Jews And The Christians Shall, By No Means, Be Pleased With You Until You Follow Their Religion. Say: ‘Surely, The Guidance (Given) By Allah Is The (Only Real) Guidance.’ (Said For The Education Of The Umma [The Community]:) ‘And, (Supposing The Impossible,) If You Follow Their Desires After That Knowledge Which Has Come To You (From Allah), Then There Will Not Be Any Friend Or Helper For You To Protect You From Allah.’","[{""index"": 18, ""q_src_id"": 19, ""surah"": 2, ""ayah"": 120, ""ayah_en"": ""And The Jews And The Christians Shall, By No Means, Be Pleased With You Until You Follow Their Religion. Say: \u2018Surely, The Guidance (Given) By Allah Is The (Only Real) Guidance.\u2019 (Said For The Education Of The Umma [The Community]:) \u2018And, (Supposing The Impossible,) If You Follow Their Desires After That Knowledge Which Has Come To You (From Allah), Then There Will Not Be Any Friend Or Helper For You To Protect You From Allah.\u2019""}]"
"Ibrahim and his son Ismail, peace be upon them. And the evidence is: 'And when Ibrahim raised the foundations of the House and Ismail, 'Our Lord, accept from us, indeed You are the Hearing, the Knowing.' (2:127) Al-Baqarah.",Who raised the foundations of the Holy House (the Kaaba)?,"Quran Surah 2 Ayah 127:
And (Recall) When Ibrahim And Isma‘Il (Abraham And Ishmael) Were Raising The Foundations Of The Ka‘Ba (Praying:) ‘O Our Lord, Accept This (Humble Service) From Us. You Are, Indeed, All-Hearing, All-Knowing.","[{""index"": 19, ""q_src_id"": 20, ""surah"": 2, ""ayah"": 127, ""ayah_en"": ""And (Recall) When Ibrahim And Isma\u2018Il (Abraham And Ishmael) Were Raising The Foundations Of The Ka\u2018Ba (Praying:) \u2018O Our Lord, Accept This (Humble Service) From Us. You Are, Indeed, All-Hearing, All-Knowing.""}]"
"And they die while they are Muslims. And the evidence is: 'And Abraham instructed his sons [to do so] and [he also instructed] Jacob: 'O my sons! Allah has chosen for you the religion, so do not die except while you are Muslims.' [2:132] The Cow.","What was the testament of Ibrahim (peace be upon him) to his children, and what was the testament of Ya'qub (peace be upon him) to his children?","Quran Surah 2 Ayah 132:
And Ibrahim (Abraham) Enjoined, By Way Of Will, The Same Thing Upon His Sons And (So Did) Ya‘Qub (Jacob): ‘O My Sons, Verily, Allah Has Chosen For You The (True) Din (Religion Of Islam). So, (Come What May) Die Not But As Muslims Persevering With Faith.’","[{""index"": 20, ""q_src_id"": 21, ""surah"": 2, ""ayah"": 132, ""ayah_en"": ""And Ibrahim (Abraham) Enjoined, By Way Of Will, The Same Thing Upon His Sons And (So Did) Ya\u2018Qub (Jacob): \u2018O My Sons, Verily, Allah Has Chosen For You The (True) Din (Religion Of Islam). So, (Come What May) Die Not But As Muslims Persevering With Faith.\u2019""}]"
"They said: 'What caused the Prophet (PBUH) and the believers to change their Qibla (direction of prayer) from what they were on to the direction of Jerusalem? And Allah's response was (Say: To Allah belongs the East and the West). The evidence is: 'The foolish among the people will say, 'What has turned them from their Qibla which they were facing?' Say: 'To Allah belongs the East and the West; He guides whom He will to a Straight Path.' (2:142)",What did the foolish Jews and Christians say when Allah commanded His Prophet (peace be upon him) to change the Qibla to the Kaaba? And what was Allah's response to them?,"Quran Surah 2 Ayah 142:
Now The Foolish Will Say: ‘What Has Turned Away These (Muslims) From Their Qibla (Bayt Al-Maqdis In Jerusalem) To Which They Used To Face (Before)?’ Say: ‘The East And The West (All) Belong To Allah Alone. He Guides Whom He Pleases To The Straight Path.’","[{""index"": 21, ""q_src_id"": 22, ""surah"": 2, ""ayah"": 142, ""ayah_en"": ""Now The Foolish Will Say: \u2018What Has Turned Away These (Muslims) From Their Qibla (Bayt Al-Maqdis In Jerusalem) To Which They Used To Face (Before)?\u2019 Say: \u2018The East And The West (All) Belong To Allah Alone. He Guides Whom He Pleases To The Straight Path.\u2019""}]"
"Thus, We have made you a justly balanced nation that you may be witnesses over the people and the Messenger may be a witness over you. And We have appointed the Qiblah which you used to face only to distinguish those who follow the Messenger from those who turn on their heels. And indeed, it was not except a great matter except for those whom Allah has guided. And Allah would not have let your faith go to waste. Indeed, Allah is, over the people, Kind and Merciful.","Why did Allah (SWT) make the nation of Muhammad (PBUH) a middle nation, a nation of choice and balance? And why was the Qibla changed?","Quran Surah 2 Ayah 143:
And, In The Same Way, (O Muslims,) We Made You The Best Umma (Community—Fair To All With A Tolerant, Moderate And Balanced Outlook) So That You May Bear Witness To The People, And (Our Exalted) Messenger (Blessings And Peace Be Upon Him) Bears Witness To You. And We Appointed The Qibla (The Direction Of Prayer), Which You Used To Face Before, Only To Bring To Light (By Trial) Who Would Follow (Our) Messenger And Who Would Turn Back Upon His Heels. And This (Change Of Qibla) Was Indeed A Hard Task, But Not For Those Whom Allah Blessed With Guidance (And Gnosis Of Spiritual Truths). And It Is Not Allah’S Glory To Void Your Faith (Without Any Reason). Allah Is Surely Most Clement, Ever-Merciful To Mankind.

Quran Surah 2 Ayah 143:
And, In The Same Way, (O Muslims,) We Made You The Best Umma (Community—Fair To All With A Tolerant, Moderate And Balanced Outlook) So That You May Bear Witness To The People, And (Our Exalted) Messenger (Blessings And Peace Be Upon Him) Bears Witness To You. And We Appointed The Qibla (The Direction Of Prayer), Which You Used To Face Before, Only To Bring To Light (By Trial) Who Would Follow (Our) Messenger And Who Would Turn Back Upon His Heels. And This (Change Of Qibla) Was Indeed A Hard Task, But Not For Those Whom Allah Blessed With Guidance (And Gnosis Of Spiritual Truths). And It Is Not Allah’S Glory To Void Your Faith (Without Any Reason). Allah Is Surely Most Clement, Ever-Merciful To Mankind.","[{""index"": 22, ""q_src_id"": 23, ""surah"": 2, ""ayah"": 143, ""ayah_en"": ""And, In The Same Way, (O Muslims,) We Made You The Best Umma (Community\u2014Fair To All With A Tolerant, Moderate And Balanced Outlook) So That You May Bear Witness To The People, And (Our Exalted) Messenger (Blessings And Peace Be Upon Him) Bears Witness To You. And We Appointed The Qibla (The Direction Of Prayer), Which You Used To Face Before, Only To Bring To Light (By Trial) Who Would Follow (Our) Messenger And Who Would Turn Back Upon His Heels. And This (Change Of Qibla) Was Indeed A Hard Task, But Not For Those Whom Allah Blessed With Guidance (And Gnosis Of Spiritual Truths). And It Is Not Allah\u2019S Glory To Void Your Faith (Without Any Reason). Allah Is Surely Most Clement, Ever-Merciful To Mankind.""}, {""index"": 22, ""q_src_id"": 23, ""surah"": 2, ""ayah"": 143, ""ayah_en"": ""And, In The Same Way, (O Muslims,) We Made You The Best Umma (Community\u2014Fair To All With A Tolerant, Moderate And Balanced Outlook) So That You May Bear Witness To The People, And (Our Exalted) Messenger (Blessings And Peace Be Upon Him) Bears Witness To You. And We Appointed The Qibla (The Direction Of Prayer), Which You Used To Face Before, Only To Bring To Light (By Trial) Who Would Follow (Our) Messenger And Who Would Turn Back Upon His Heels. And This (Change Of Qibla) Was Indeed A Hard Task, But Not For Those Whom Allah Blessed With Guidance (And Gnosis Of Spiritual Truths). And It Is Not Allah\u2019S Glory To Void Your Faith (Without Any Reason). Allah Is Surely Most Clement, Ever-Merciful To Mankind.""}]"
"Those to whom We have given the Scripture recognize it as they recognize their own sons, but there is a group among them who conceal the truth while they know it.",nan,"Quran Surah 2 Ayah 146:
And Those To Whom We Have Given The Book Recognize (The Final) Messenger (The Venerable Muhammad [Blessings And Peace Be Upon Him] And His Glory And Majesty) As They Doubtlessly Identify Their Own Sons. But Certainly, A Party Of Them Is Deliberately Concealing The Truth.","[{""index"": 23, ""q_src_id"": 24, ""surah"": 2, ""ayah"": 146, ""ayah_en"": ""And Those To Whom We Have Given The Book Recognize (The Final) Messenger (The Venerable Muhammad [Blessings And Peace Be Upon Him] And His Glory And Majesty) As They Doubtlessly Identify Their Own Sons. But Certainly, A Party Of Them Is Deliberately Concealing The Truth.""}]"
"And do not say of those who are killed in the way of Allah, 'They are dead.' Rather, they are alive, but you are not aware.",What is the evidence that those who were killed in the way of Allah are alive and not dead?,"Quran Surah 2 Ayah 154:
And Do Not Say About Those Who Are Slain In The Cause Of Allah That They Are Dead. (They Are Not Dead.) They Are Rather Alive But You Have No Perception (Of Their Life).","[{""index"": 24, ""q_src_id"": 25, ""surah"": 2, ""ayah"": 154, ""ayah_en"": ""And Do Not Say About Those Who Are Slain In The Cause Of Allah That They Are Dead. (They Are Not Dead.) They Are Rather Alive But You Have No Perception (Of Their Life).""}]"
